B,trial,sequence,prompt_index,generated_tokens,wall_time_s
16,10,2,46,96,3.9155471690000923
16,10,3,47,96,3.9155471690000923
16,10,4,48,96,3.9155471690000923
16,10,5,49,96,3.9155471690000923
16,10,6,50,96,3.9155471690000923
16,10,7,51,96,3.9155471690000923
16,10,8,52,96,3.9155471690000923
16,10,9,53,96,3.9155471690000923
16,10,10,54,96,3.9155471690000923
16,10,11,55,96,3.9155471690000923
16,10,12,56,96,3.9155471690000923
16,10,13,57,96,3.9155471690000923
16,10,14,58,96,3.9155471690000923
16,10,15,59,96,3.9155471690000923
32,1,0,0,87,4.131517561999999
32,1,1,1,96,4.131517561999999
32,1,2,2,96,4.131517561999999
32,1,3,3,96,4.131517561999999
32,1,4,4,96,4.131517561999999
32,1,5,5,96,4.131517561999999
32,1,6,6,96,4.131517561999999
32,1,7,7,96,4.131517561999999
32,1,8,8,96,4.131517561999999
32,1,9,9,96,4.131517561999999
32,1,10,10,96,4.131517561999999
32,1,11,11,96,4.131517561999999
32,1,12,12,96,4.131517561999999
32,1,13,13,96,4.131517561999999
32,1,14,14,96,4.131517561999999
32,1,15,15,96,4.131517561999999
32,1,16,16,96,4.131517561999999
32,1,17,17,96,4.131517561999999
32,1,18,18,96,4.131517561999999
32,1,19,19,96,4.131517561999999
32,1,20,20,96,4.131517561999999
32,1,21,21,96,4.131517561999999
32,1,22,22,96,4.131517561999999
32,1,23,23,96,4.131517561999999
32,1,24,24,96,4.131517561999999
32,1,25,25,96,4.131517561999999
32,1,26,26,96,4.131517561999999
32,1,27,27,96,4.131517561999999
32,1,28,28,96,4.131517561999999
32,1,29,29,96,4.131517561999999
32,1,30,30,96,4.131517561999999
32,1,31,31,96,4.131517561999999
32,2,0,32,96,4.17521684899998
32,2,1,33,96,4.17521684899998
32,2,2,34,96,4.17521684899998
32,2,3,35,96,4.17521684899998
32,2,4,36,96,4.17521684899998
32,2,5,37,96,4.17521684899998
32,2,6,38,96,4.17521684899998
32,2,7,39,96,4.17521684899998
32,2,8,40,96,4.17521684899998
32,2,9,41,96,4.17521684899998
32,2,10,42,96,4.17521684899998
32,2,11,43,96,4.17521684899998
32,2,12,44,96,4.17521684899998
32,2,13,45,96,4.17521684899998
32,2,14,46,96,4.17521684899998
32,2,15,47,96,4.17521684899998
32,2,16,48,96,4.17521684899998
32,2,17,49,96,4.17521684899998
32,2,18,50,96,4.17521684899998
32,2,19,51,96,4.17521684899998
32,2,20,52,96,4.17521684899998
32,2,21,53,96,4.17521684899998
32,2,22,54,96,4.17521684899998
32,2,23,55,96,4.17521684899998
32,2,24,56,96,4.17521684899998
32,2,25,57,96,4.17521684899998
32,2,26,58,96,4.17521684899998
32,2,27,59,96,4.17521684899998
32,2,28,60,96,4.17521684899998
32,2,29,61,96,4.17521684899998
32,2,30,62,83,4.17521684899998
32,2,31,63,96,4.17521684899998
32,3,0,64,96,4.094660347000172
32,3,1,65,96,4.094660347000172
32,3,2,66,96,4.094660347000172
32,3,3,67,96,4.094660347000172
32,3,4,68,96,4.094660347000172
32,3,5,69,96,4.094660347000172
32,3,6,70,96,4.094660347000172
32,3,7,71,96,4.094660347000172
32,3,8,72,96,4.094660347000172
32,3,9,73,96,4.094660347000172
32,3,10,74,96,4.094660347000172
32,3,11,75,96,4.094660347000172
32,3,12,76,96,4.094660347000172
32,3,13,77,96,4.094660347000172
32,3,14,78,96,4.094660347000172
32,3,15,79,96,4.094660347000172
32,3,16,80,96,4.094660347000172
32,3,17,81,96,4.094660347000172
32,3,18,82,96,4.094660347000172
32,3,19,83,96,4.094660347000172
32,3,20,84,96,4.094660347000172
32,3,21,85,96,4.094660347000172
32,3,22,86,96,4.094660347000172
32,3,23,87,96,4.094660347000172
32,3,24,88,96,4.094660347000172
32,3,25,89,96,4.094660347000172
32,3,26,90,96,4.094660347000172
32,3,27,91,96,4.094660347000172
32,3,28,92,96,4.094660347000172
32,3,29,93,96,4.094660347000172
32,3,30,94,96,4.094660347000172
32,3,31,95,96,4.094660347000172
32,4,0,96,96,4.102041357999951
32,4,1,97,96,4.102041357999951
32,4,2,98,96,4.102041357999951
32,4,3,99,96,4.102041357999951
32,4,4,0,87,4.102041357999951
32,4,5,1,96,4.102041357999951
32,4,6,2,96,4.102041357999951
32,4,7,3,96,4.102041357999951
32,4,8,4,96,4.102041357999951
