B,trial,sequence,prompt_index,generated_tokens,wall_time_s
32,4,20,16,96,3.8254962150000438
32,4,21,17,96,3.8254962150000438
32,4,22,18,96,3.8254962150000438
32,4,23,19,96,3.8254962150000438
32,4,24,20,96,3.8254962150000438
32,4,25,21,96,3.8254962150000438
32,4,26,22,96,3.8254962150000438
32,4,27,23,96,3.8254962150000438
32,4,28,24,96,3.8254962150000438
32,4,29,25,96,3.8254962150000438
32,4,30,26,96,3.8254962150000438
32,4,31,27,96,3.8254962150000438
32,5,0,28,96,3.8519295170000305
32,5,1,29,96,3.8519295170000305
32,5,2,30,96,3.8519295170000305
32,5,3,31,96,3.8519295170000305
32,5,4,32,96,3.8519295170000305
32,5,5,33,96,3.8519295170000305
32,5,6,34,96,3.8519295170000305
32,5,7,35,96,3.8519295170000305
32,5,8,36,96,3.8519295170000305
32,5,9,37,96,3.8519295170000305
32,5,10,38,96,3.8519295170000305
32,5,11,39,96,3.8519295170000305
32,5,12,40,96,3.8519295170000305
32,5,13,41,96,3.8519295170000305
32,5,14,42,96,3.8519295170000305
32,5,15,43,96,3.8519295170000305
32,5,16,44,96,3.8519295170000305
32,5,17,45,96,3.8519295170000305
32,5,18,46,96,3.8519295170000305
32,5,19,47,96,3.8519295170000305
32,5,20,48,96,3.8519295170000305
32,5,21,49,96,3.8519295170000305
32,5,22,50,96,3.8519295170000305
32,5,23,51,96,3.8519295170000305
32,5,24,52,96,3.8519295170000305
32,5,25,53,96,3.8519295170000305
32,5,26,54,96,3.8519295170000305
32,5,27,55,96,3.8519295170000305
32,5,28,56,96,3.8519295170000305
32,5,29,57,96,3.8519295170000305
32,5,30,58,96,3.8519295170000305
32,5,31,59,96,3.8519295170000305
32,6,0,60,96,4.5234374299999445
32,6,1,61,96,4.5234374299999445
32,6,2,62,83,4.5234374299999445
32,6,3,63,96,4.5234374299999445
32,6,4,64,96,4.5234374299999445
32,6,5,65,96,4.5234374299999445
32,6,6,66,96,4.5234374299999445
32,6,7,67,96,4.5234374299999445
32,6,8,68,96,4.5234374299999445
32,6,9,69,96,4.5234374299999445
32,6,10,70,96,4.5234374299999445
32,6,11,71,96,4.5234374299999445
32,6,12,72,96,4.5234374299999445
32,6,13,73,96,4.5234374299999445
32,6,14,74,96,4.5234374299999445
32,6,15,75,96,4.5234374299999445
32,6,16,76,96,4.5234374299999445
32,6,17,77,96,4.5234374299999445
32,6,18,78,96,4.5234374299999445
32,6,19,79,96,4.5234374299999445
32,6,20,80,96,4.5234374299999445
32,6,21,81,96,4.5234374299999445
32,6,22,82,96,4.5234374299999445
32,6,23,83,96,4.5234374299999445
32,6,24,84,96,4.5234374299999445
32,6,25,85,96,4.5234374299999445
32,6,26,86,96,4.5234374299999445
32,6,27,87,96,4.5234374299999445
32,6,28,88,96,4.5234374299999445
32,6,29,89,96,4.5234374299999445
32,6,30,90,96,4.5234374299999445
32,6,31,91,96,4.5234374299999445
32,7,0,92,96,3.856001857000024
32,7,1,93,96,3.856001857000024
32,7,2,94,96,3.856001857000024
32,7,3,95,96,3.856001857000024
32,7,4,96,96,3.856001857000024
32,7,5,97,96,3.856001857000024
32,7,6,98,96,3.856001857000024
32,7,7,99,96,3.856001857000024
32,7,8,0,87,3.856001857000024
32,7,9,1,96,3.856001857000024
32,7,10,2,96,3.856001857000024
32,7,11,3,96,3.856001857000024
32,7,12,4,96,3.856001857000024
32,7,13,5,96,3.856001857000024
32,7,14,6,96,3.856001857000024
32,7,15,7,96,3.856001857000024
32,7,16,8,96,3.856001857000024
32,7,17,9,96,3.856001857000024
32,7,18,10,96,3.856001857000024
32,7,19,11,96,3.856001857000024
32,7,20,12,96,3.856001857000024
32,7,21,13,96,3.856001857000024
32,7,22,14,96,3.856001857000024
32,7,23,15,96,3.856001857000024
32,7,24,16,96,3.856001857000024
32,7,25,17,96,3.856001857000024
32,7,26,18,96,3.856001857000024
32,7,27,19,96,3.856001857000024
32,7,28,20,96,3.856001857000024
32,7,29,21,96,3.856001857000024
32,7,30,22,96,3.856001857000024
32,7,31,23,96,3.856001857000024
32,8,0,24,96,3.839861993999989
32,8,1,25,96,3.839861993999989
32,8,2,26,96,3.839861993999989
32,8,3,27,96,3.839861993999989
32,8,4,28,96,3.839861993999989
32,8,5,29,96,3.839861993999989
32,8,6,30,96,3.839861993999989
32,8,7,31,96,3.839861993999989
32,8,8,32,96,3.839861993999989
32,8,9,33,96,3.839861993999989
32,8,10,34,96,3.839861993999989
32,8,11,35,96,3.839861993999989
32,8,12,36,96,3.839861993999989
32,8,13,37,96,3.839861993999989
32,8,14,38,96,3.839861993999989
32,8,15,39,96,3.839861993999989
32,8,16,40,96,3.839861993999989
32,8,17,41,96,3.839861993999989
32,8,18,42,96,3.839861993999989
32,8,19,43,96,3.839861993999989
32,8,20,44,96,3.839861993999989
32,8,21,45,96,3.839861993999989
32,8,22,46,96,3.839861993999989
32,8,23,47,96,3.839861993999989
32,8,24,48,96,3.839861993999989
32,8,25,49,96,3.839861993999989
32,8,26,50,96,3.839861993999989
32,8,27,51,96,3.839861993999989
32,8,28,52,96,3.839861993999989
32,8,29,53,96,3.839861993999989
32,8,30,54,96,3.839861993999989
32,8,31,55,96,3.839861993999989
32,9,0,56,96,4.404155179999975
32,9,1,57,96,4.404155179999975
32,9,2,58,96,4.404155179999975
32,9,3,59,96,4.404155179999975
32,9,4,60,96,4.404155179999975
32,9,5,61,96,4.404155179999975
32,9,6,62,83,4.404155179999975
32,9,7,63,96,4.404155179999975
32,9,8,64,96,4.404155179999975
32,9,9,65,96,4.404155179999975
32,9,10,66,96,4.404155179999975
32,9,11,67,96,4.404155179999975
32,9,12,68,96,4.404155179999975
32,9,13,69,96,4.404155179999975
32,9,14,70,96,4.404155179999975
32,9,15,71,96,4.404155179999975
32,9,16,72,96,4.404155179999975
32,9,17,73,96,4.404155179999975
32,9,18,74,96,4.404155179999975
32,9,19,75,96,4.404155179999975
32,9,20,76,96,4.404155179999975
32,9,21,77,96,4.404155179999975
32,9,22,78,96,4.404155179999975
32,9,23,79,96,4.404155179999975
32,9,24,80,96,4.404155179999975
32,9,25,81,96,4.404155179999975
