B,trial,wall_time_s,generated_tokens,total_generated_tokens,min_generated_tokens,max_generated_tokens,request_throughput_req_s,token_throughput_tok_s
4,8,3.8791811970000367,"[96, 96, 96, 96]",384,96,96,1.0311454394276294,98.98996218505242
4,9,3.5817439659999764,"[96, 96, 96, 96]",384,96,96,1.1167744087713574,107.2103432420503
4,10,3.5410972990000005,"[96, 96, 96, 96]",384,96,96,1.1295933611114253,108.44096266669682
8,1,4.243087643000024,"[87, 96, 96, 96, 96, 96, 96, 96]",759,87,96,1.8854194570309881,178.879170985815
8,2,3.589964903000009,"[96, 96, 96, 96, 96, 96, 96, 96]",768,96,96,2.2284340421586513,213.9296680472305
8,3,3.5810418039999945,"[96, 96, 96, 96, 96, 96, 96, 96]",768,96,96,2.2339867663829183,214.46272957276017
8,4,4.1809472809999875,"[96, 96, 96, 96, 96, 96, 96, 96]",768,96,96,1.913441969564032,183.69042907814708
8,5,3.5966234580000105,"[96, 96, 96, 96, 96, 96, 96, 96]",768,96,96,2.2243084641528177,213.5336125586705
8,6,3.5600826509999592,"[96, 96, 96, 96, 96, 96, 96, 96]",768,96,96,2.247138840372976,215.72532867580574
8,7,4.055526046000011,"[96, 96, 96, 96, 96, 96, 96, 96]",768,96,96,1.9726170931365232,189.37124094110624
8,8,3.650210130000005,"[96, 96, 96, 96, 96, 96, 83, 96]",755,83,96,2.1916546486599087,206.83740746727887
8,9,3.5981180169999902,"[96, 96, 96, 96, 96, 96, 96, 96]",768,96,96,2.2233845477559337,213.44491658456963
8,10,3.9408679280000456,"[96, 96, 96, 96, 96, 96, 96, 96]",768,96,96,2.030009669484135,194.88092827047694
16,1,4.126184942999998,"[87, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1527,87,96,3.8776739823898887,370.07551069433504
16,2,3.6994052839999654,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1536,96,96,4.3250195022428235,415.201872215311
16,3,3.743413897000039,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1536,96,96,4.274173372285216,410.3206437393808
16,4,4.159564542999988,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 83, 96]",1523,83,96,3.846556492776616,366.14409615617416
16,5,3.6040183540000044,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1536,96,96,4.439489044844076,426.1909483050313
16,6,3.6354149000000007,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1536,96,96,4.401148270586666,422.5102339763199
16,7,4.347740706999957,"[96, 96, 96, 96, 87, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1527,87,96,3.680072267014372,351.2168969831841
16,8,3.6503555739999456,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1536,96,96,4.38313464966584,420.7809263679207
16,9,3.6127181770000334,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1536,96,96,4.428798266596662,425.1646335932795
16,10,4.211170723000009,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1536,96,96,3.7994185114873966,364.7441771027901
32,1,3.773851019999938,"[87, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3063,87,96,8.479402030025161,811.6377630614709
32,2,3.7617111980000573,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 83, 96]",3059,83,96,8.506766818519466,813.1937405578453
32,3,4.415143636000039,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3072,96,96,7.247782323338148,695.7871030404622
32,4,3.8254962150000438,"[96, 96, 96, 96, 87, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3063,87,96,8.364927894720093,800.6804419227389
32,5,3.8519295170000305,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3072,96,96,8.307524802510489,797.522381041007
32,6,4.5234374299999445,"[96, 96, 83, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3059,83,96,7.074266085294429,676.2556235911143
32,7,3.856001857000024,"[96, 96, 96, 96, 96, 96, 96, 96, 87, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3063,87,96,8.298751190150115,794.3460904821812
32,8,3.839861993999989,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3072,96,96,8.333632836284712,800.0287522833324
32,9,4.404155179999975,"[96, 96, 96, 96, 96, 96, 83, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3059,83,96,7.265865686413025,694.5713479605452
32,10,3.8973105179999266,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 87, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3063,87,96,8.210790454649784,785.926598831009
